pincode,circle,region,division,offices
770033,Odisha circle,Sambalpur Region,Rourkela Division,"A.Jambahal B.O, Dalki B.O, Indrapur B.O, Jhamankera B.O, Jhunmur B.O, Kadobahal B.O, Kaplas B.O, Kardega B.O, Kokerama B.O, Kunmendra B.O, Majhapara B.O, Raiboga B.O, Salangabahal B.O, Tarkera B.O, JAIDEGA B.O, Biramitrapur S.O, Damdapara S.O"
770034,Odisha circle,Sambalpur Region,Rourkela Division,"Chungimati B.O, Dumerjore B.O, Laing B.O, Laing Colony B.O, Ushra Colony B.O, KANSBAHAL, PIET MANDIAKUDAR"
770035,Odisha circle,Sambalpur Region,Rourkela Division,"Tainda B.O, Barilepta B.O, Chitapedi B.O, Kandarkela B.O, Limida B.O, Luaram B.O, Nuagaon B.O, Surda B.O, Purnapani S.O"
770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O, Barsuan B.O, Bhalulata B.O, Birkera B.O, Jareikela B.O, Khutgaon B.O, Kulenbahal B.O, Santoshpur B.O, Tulsikani B.O, Udusu B.O, Bisra S.O"
770037,Odisha circle,Sambalpur Region,Rourkela Division,"Bad Dalki B.O, Banki Bazar B.O, Barghat B.O, Birda B.O, Birkera B.O, Bolani B.O, Chandiposh B.O, Chandrapur B.O, Jadakudar B.O, Jharbeda Banki B.O, Kumakela B.O, Manko B.O, Pankadihi B.O, Patua B.O, Ramjodi B.O, Sargigarh B.O, Tainsar B.O, Tamra B.O, KUCHEITA B.O, Lathikata S.O"
770038,Odisha circle,Sambalpur Region,Rourkela Division,"Badgogua B.O, Bhaludungri B.O, Jakaikela B.O, Kandrikela B.O, Narendra B.O, Pandrisila B.O, Satkuta B.O, Talita B.O, Bonaigarh S.O"
770039,Odisha circle,Sambalpur Region,Rourkela Division,"Gobira B.O, Kalosihiria B.O, Kumjharia B.O, Padampur B.O, Ratakhandi B.O, Kuarmunda S.O"
770040,Odisha circle,Sambalpur Region,Rourkela Division,"Badapurnapani B.O, Bimlagarh B.O, Chordhara B.O, Darjing B.O, Gopna B.O, Jamdihi B.O, K.Bolang B.O, Kalaiposh B.O, Khariabahal B.O, Kundheikela B.O, Nandapara B.O, Roxy B.O, Sankhaposh B.O, Sardhapur B.O, Sayamba B.O, Topadihi B.O, Tumkela B.O, Lahunipara S.O"
770041,Odisha circle,Sambalpur Region,Rourkela Division,"Bhutuda B.O, Sashyakala B.O, Barsuan S.O"
770042,Odisha Circle,Sambalpur Region,Rourkela Division,Tensa S.O
770043,Odisha circle,Sambalpur Region,Rourkela Division,"Bonaikela B.O, Jamdar B.O, Jarda B.O, Kansar B.O, Kantapali B.O, Kundheidiha B.O, Lachada B.O, Mayurdima B.O, Gurundia S.O"
770044,Odisha circle,Sambalpur Region,Rourkela Division,"Dalaisara B.O, Jangra B.O, Kuliposh B.O, Kurda B.O, Lalei B.O, Mahuldiha B.O, Mahulpada B.O, Phuljhar B.O, Ruguda B.O, Sihidia B.O, Khuntgaon S.O"
